"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AC";"AC";"ACRE";"01120";"ACRELÂNDIA";"8";"5";"Senador";"10028";"131";"SEBASTIÃO AFONSO VIANA MACEDO NEVES";"TIÃO VIANA";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"13";"PT";"PARTIDO DOS TRABALHADORES";"1000";"FRENTE POPULAR DO ACRE I";"PP / PT / PL / PRTB / PMN / PSB / PC do B";"1";"ELEITO";"N";"2961"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AL";"AL";"ALAGOAS";"27030";"ANADIA";"4";"5";"Senador";"10541";"288";"FERNANDO AFFONSO COLLOR DE MELLO";"COLLOR";"#NE";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"28";"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"-1";"PARTIDO ISOLADO";"PRTB";"1";"ELEITO";"N";"5143"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AM";"AM";"AMAZONAS";"02895";"ALVARÃES";"60";"5";"Senador";"10366";"222";"ALFREDO PEREIRA DO NASCIMENTO";"ALFREDO NASCIMENTO";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"22";"PL";"PARTIDO LIBERAL";"1020";"COM A FORCA DO POVO";"PRONA / PSB / PT / PC do B / PL";"1";"ELEITO";"N";"3759"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";"11";"5";"Senador";"10083";"151";"JOSÉ SARNEY";"SARNEY";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO";"1004";"UNIÃO PELO AMAPÁ";"PDT / PP / PMDB / PV / PSC / PRONA";"1";"ELEITO";"N";"1518"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"BA";"BA";"BAHIA";"33030";"ABARÉ";"158";"5";"Senador";"10570";"123";"JOÃO DURVAL CARNEIRO";"JOÃO DURVAL";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"1016";"A BAHIA NO CORAÇÃO";"PDT / PSC / PRTB";"1";"ELEITO";"N";"2101"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"CE";"CE";"CEARÁ";"13013";"ABAIARA";"26";"5";"Senador";"10271";"656";"INÁCIO FRANCISCO DE ASSIS NUNES ARRUDA";"INÁCIO";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"1009";"CEARÁ VOTA PARA CRESCER";"PSB / PT / PC do B / PMDB / PRB / PP / PHS / PMN / PV";"1";"ELEITO";"N";"2408"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"1";"5";"Senador";"10524";"151";"JOAQUIM DOMINGOS RORIZ";"RORIZ";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"15";"PMDB";"PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO";"1024";"JUNTOS POR BRASÍLIA";"PSDB / PMDB / PTB / PAN / PHS / PTC / PRP / PT do B";"1";"ELEITO";"N";"34307"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"ES";"ES";"ESPÍRITO SANTO";"56014";"AFONSO CLÁUDIO";"8";"5";"Senador";"10448";"400";"JOSÉ RENATO CASAGRANDE";"RENATO CASAGRANDE";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"1022";"ESPÍRITO SANTO PRESENTE";"PRB / PT / PSC / PL / PMN / PSB / PV / PC do B";"1";"ELEITO";"N";"9557"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"GO";"GO";"GOIÁS";"93360";"ABADIA DE GOIÁS";"56";"5";"Senador";"10094";"456";"MARCONI FERREIRA PERILLO JUNIOR";"MARCONI PERILLO";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1003";"COLIGAÇÃO DO TEMPO NOVO";"PP / PTB / PTN / PL / PPS / PAN / PRTB / PHS / PMN / PV / PRP / PSDB / PT do B";"1";"ELEITO";"N";"2657"
"13/05/2022";"19:53:47";"2006";"2";"Eleição Ordinária";"1";"2006001";"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"MA";"MA";"MARANHÃO";"07013";"AFONSO CUNHA";"28";"5";"Senador";"10561";"141";"EPITACIO CAFETEIRA AFONSO PEREIRA";"EPITÁCIO CAFETEIRA";"#NE";"12";"APTO";"2";"DEFERIDO";"Coligação";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"1008";"MARANHÃO - A FORÇA DO POVO 1";"PP / PTB / PMDB / PTN / PSC / PL / PFL / PRTB / PHS / PV / PRP";"1";"ELEITO";"N";"1459"
