"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_DCONST_DIPLOMA";"DS_SITUACAO_DCONST_DIPLOMA";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001621650";"1111";"GEHLEN DINIZ ANDRADE";"GERLEN DINIZ";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"10001682278";"PARTIDO ISOLADO";"PP";"N";"393";"Válido";"393";"3";"ELEITO POR MÉDIA"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001621646";"1122";"JOSÉ ESTEPHAN BARBARY FILHO";"ZEZINHO BARBARY";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"10001682278";"PARTIDO ISOLADO";"PP";"N";"94";"Válido";"94";"3";"ELEITO POR MÉDIA"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001612486";"4455";"ROZIMEIRE RIBEIRO ANDRADE";"MEIRE SERAFIM";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"10001681620";"PARTIDO ISOLADO";"UNIÃO";"N";"497";"Válido";"497";"2";"ELEITO POR QP"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001621643";"1101";"MARIA DO SOCORRO NERI MEDEIROS DE SOUZA";"SOCORRO NERI";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"10001682278";"PARTIDO ISOLADO";"PP";"N";"69";"Válido";"69";"2";"ELEITO POR QP"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001619993";"1010";"ROBERTO DUARTE JUNIOR";"ROBERTO DUARTE";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"10";"REPUBLICANOS";"REPUBLICANOS";"-1";"#NULO#";"#NULO#";"#NULO#";"10001682203";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"16";"Válido";"16";"3";"ELEITO POR MÉDIA"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001612484";"4488";"EDUARDO OVIDIO BORGES DE VELLOSO VIANNA";"DR EDUARDO VELLOSO";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"10001681620";"PARTIDO ISOLADO";"UNIÃO";"N";"214";"Válido";"214";"3";"ELEITO POR MÉDIA"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001612487";"4422";"ULYSSES FREITAS PEREIRA DE ARAUJO";"CORONEL ULYSSES";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"10001681620";"PARTIDO ISOLADO";"UNIÃO";"N";"355";"Válido";"355";"3";"ELEITO POR MÉDIA"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"1554";"MANOEL URBANO";"3";"6";"Deputado Federal";"10001619990";"1000";"ANTÔNIA LUCILEIA CRUZ RAMOS CAMARA";"ANTÔNIA LUCIA";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"PARTIDO ISOLADO";"10";"REPUBLICANOS";"REPUBLICANOS";"-1";"#NULO#";"#NULO#";"#NULO#";"10001682203";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"466";"Válido";"466";"2";"ELEITO POR QP"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27294";"CAMPO GRANDE";"20";"6";"Deputado Federal";"20001610332";"1313";"PAULO FERNANDO DOS SANTOS";"PAULÃO";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"FEDERAÇÃO";"13";"PT";"Partido dos Trabalhadores";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"20001681498";"FEDERAÇÃO";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"N";"67";"Válido";"67";"3";"ELEITO POR MÉDIA"
"20/03/2026";"00:30:51";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27294";"CAMPO GRANDE";"20";"6";"Deputado Federal";"20001610335";"4343";"LUCIANO SURUAGY DO AMARAL FILHO";"LUCIANO AMARAL";"#NULO";"12";"APTO";"2";"DEFERIDO";"-3";"#NE";"-3";"#NE";"-3";"#NE";"FEDERAÇÃO";"43";"PV";"Partido Verde";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PC do B / PT / PV";"20001681498";"FEDERAÇÃO";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"N";"23";"Válido";"23";"2";"ELEITO POR QP"
